favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
706,Twitter Web Client,"You can be an @nfl player with murder charges and not be suspended. Yet with NO EVIDENCE, @nfl targeted Tom Brady. B.S.!",,False,Wed May 13 19:55:19 +0000 2015,598,598577282115084288
102429,Twitter for iPhone,THE GREATEST SCAM IN THE HISTORY OF AMERICAN POLITICS!,,False,Thu Sep 26 11:24:29 +0000 2019,20982,1177182149050609664
56591,Twitter for iPhone,https://t.co/wYCNmkkaNR,,False,Wed Aug 22 22:24:57 +0000 2018,14710,1032393212126613504
54,Twitter for Android,"""@ZGreekDWstyle: @realDonaldTrump Please run for president and save us from the fools.  Stay tuned!",,False,Sun May 03 00:08:22 +0000 2015,22,594654695223742465
25,Twitter for Android,"""@DoremusJ: @realDonaldTrump You're my dream candidate. I hope your exploratory committee agrees. If they don't you should fire them."" Cute!",,False,Tue Mar 24 05:07:48 +0000 2015,11,580234536707072000
3660,Twitter for Android,"""@VYlvisaker: @AnnCoulter  TRUMP HAS STAMINA, HE IS WORKING HARDER THAN ANY OTHER CANDIDATE. He REALLY loves AMERICA . He deserves to win.""",,False,Sun Dec 13 22:00:46 +0000 2015,1406,676159853681856512
34,Twitter for Android,"""@TonyInOkla2015: @realDonaldTrump @gen_yvette @markus_42 No more RINOs and fence sitters. We want Donald Trump for president !!!!!!""",,False,Fri May 01 21:35:18 +0000 2015,14,594253786312351745
45,Twitter for Android,"""@GreeneyesA78: @realDonaldTrump Don't ever change who you are!!😊"" I promise!",,False,Fri Mar 06 00:34:07 +0000 2015,15,573642679529046016
73908,Twitter for iPhone,“Stocks Cap Best First Half Since 1997” @WSJ Our Country is doing great!,,False,Mon Jul 01 03:50:10 +0000 2019,14042,1145540071384375297
114612,Twitter for iPhone,"TO ALL AMERICANS-
#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we… https://t.co/1asdMAL4iy",,False,Sun Jan 01 05:00:10 +0000 2017,28604,815422340540547073
103531,Twitter for iPhone,"....and why hasn’t the Podesta brother been charged and arrested, like others, after being forced to close down his… https://t.co/KCLczjNejo",,False,Sun May 20 14:04:24 +0000 2018,26743,998202784683053056
1157,Twitter for Android,"""@ccakul: @realDonaldTrump it was a great show!""",,False,Sun Nov 08 12:20:31 +0000 2015,365,663330253192998912
16,Twitter for Android,"""@belllabooo13: @foxandfriends @realDonaldTrump Amen Mr Trump! You are so right!! They are clueless! God help us and God Bless you and yours",,False,Mon Mar 30 12:22:38 +0000 2015,8,582518295124779008
12201,Twitter Web Client,Thanks Piers. https://t.co/hiDDT9hV0j,,False,Wed May 11 19:09:07 +0000 2016,4182,730474838012366849
35,Twitter Web Client,"""@ortonsearch  Accepted membership to Turnberry Golf Club today. Your plans sound amazing! Excited about the season ahead"" Great--have fun!",,False,Mon Mar 16 20:37:12 +0000 2015,8,577569324682096640
47037,Twitter for iPhone,"Ralph Norman, who is running for Congress in SC's 5th District, will be a fantastic help to me in cutting taxes, and....",,False,Mon Jun 19 20:27:10 +0000 2017,11138,876899176562524160
55,Twitter Web Client,Congrats @TrumpWaikiki for winning @AmericanExpress Fine Hotels &amp; Resorts 'Hotel Partner of The Year for 2014'  award!,,False,Thu Apr 30 15:03:04 +0000 2015,18,593792690896121856
41317,Twitter for iPhone,https://t.co/RRcP8ZDy1e,,False,Tue Jun 11 02:23:54 +0000 2019,12232,1138270602719113216
23,Twitter for Android,"""@RockinJoe1: @upsetNavyVet @realDonaldTrump well at least the Donald's arrogance is warranted""  So true, thanks!",,False,Sat May 02 21:23:25 +0000 2015,13,594613186453581825
236932,Twitter for iPhone,https://t.co/iSFAokoIP7,,False,Sun Jan 06 02:15:10 +0000 2019,69216,1081735898679701505
17448,Twitter for iPhone,Obamacare premiums increasing 33% in Pennsylvania - a complete disaster. It must be repealed and replaced!… https://t.co/aDZEfcI7SM,,False,Wed Oct 19 21:22:26 +0000 2016,9030,788852833810427905
11724,Twitter for iPhone,".@DavidGregory got thrown off of TV by NBC, fired like a dog! Now he is on @CNN being nasty to me. Not nice!",,False,Wed Mar 30 03:10:20 +0000 2016,3655,715013260462960642
1084,Twitter for Android,"""@burgettn: @AB1132 @realDonaldTrump it's the only way we can make America great again.""",,False,Tue Nov 10 06:01:50 +0000 2015,460,663959733020303360
84488,Twitter for iPhone,Congratulations to Patrick Reed on his great and courageous MASTERS win! When Patrick had his amazing win at Doral… https://t.co/ry4szk4uix,,False,Mon Apr 09 00:43:27 +0000 2018,11129,983143317889323008
